budget,livingArea,personCount,pvModel_maxPVCount,pvModel_pvPrice,pvModel_modulePVkWp,pvModel_roofAngle,pvModel_roofLength,pvModel_roofWidth,pvModel_pvModuleLength,pvModel_pvModuleWidth,batteryModel_maxBatteryCount,batteryModel_batteryPrice,batteryModel_batteryCapacity,batteryModel_batteryChargeRate,batteryModel_batteryDischargeRate,batteryModel_batteryEfficiency,batteryModel_batteryDegradation,heatPumpModel_heatPumpActivated,EVModel_hasEV,EVModel_kmPerYear,EVModel_kWhPerKm,EVModel_maxChargeRateIn15,EVModel_startCharge,EVModel_endCharge,strategy,pvCount,batteryCount
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,0,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,0,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,1,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,1,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,2,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,2,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,3,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,3,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,4,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,4,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,5,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,5,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,6,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,6,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,7,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,7,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,8,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,8,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,9,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,9,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,10,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,10,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,11,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,11,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,12,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,12,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,13,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,13,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,0,14,0
50000.0,130.0,3,100,900.0,0.88,30.0,12.5,8.0,1.6,2.5,5,2500.0,2.5,0.5,0.5,0.98,7e-05,True,False,12320,0.189,2.7,00:00,08:00,1,14,0
