Latitude (decimal degrees):	49.596
Longitude (decimal degrees):	11.008
Elevation (m):	281
Radiation database:	PVGIS-ERA5


Slope: 41 deg. (optimum)
Azimuth: -6 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0030,0.0,0.0,0.0,0.0,0.0,3.39,3.03,0.0
20050101:0130,0.0,0.0,0.0,0.0,0.0,3.47,2.9,0.0
20050101:0230,0.0,0.0,0.0,0.0,0.0,3.47,2.76,0.0
20050101:0330,0.0,0.0,0.0,0.0,0.0,3.34,2.69,0.0
20050101:0430,0.0,0.0,0.0,0.0,0.0,3.44,2.62,0.0
20050101:0530,0.0,0.0,0.0,0.0,0.0,3.6,2.62,0.0
20050101:0630,0.0,0.0,0.0,0.0,0.0,3.74,2.76,0.0
20050101:0730,0.0,0.0,1.98,0.05,1.39,3.97,2.62,0.0
20050101:0830,2.88,0.68,10.63,0.29,8.24,4.1,2.62,0.0
20050101:0930,16.36,3.15,27.49,0.77,13.43,4.24,2.41,0.0
20050101:1030,32.03,17.31,32.42,1.0,16.57,4.48,2.28,0.0
20050101:1130,45.43,20.43,44.92,1.35,17.36,4.65,2.28,0.0
20050101:1230,61.66,39.88,43.71,1.43,15.72,4.92,2.28,0.0
20050101:1330,35.0,31.48,21.95,0.78,11.81,5.06,2.07,0.0
20050101:1430,2.21,1.21,8.95,0.25,5.98,4.87,1.72,0.0
20050101:1530,0.0,0.0,0.0,0.0,-1.35,4.59,2.0,0.0
20050101:1630,0.0,0.0,0.0,0.0,0.0,4.46,2.55,0.0
20050101:1730,0.0,0.0,0.0,0.0,0.0,4.36,3.1,0.0
20050101:1830,0.0,0.0,0.0,0.0,0.0,4.14,3.03,0.0
20050101:1930,0.0,0.0,0.0,0.0,0.0,4.15,2.9,0.0
20050101:2030,0.0,0.0,0.0,0.0,0.0,4.37,3.17,0.0
20050101:2130,0.0,0.0,0.0,0.0,0.0,4.61,3.45,0.0
20050101:2230,0.0,0.0,0.0,0.0,0.0,4.58,3.38,0.0
20050101:2330,0.0,0.0,0.0,0.0,0.0,5.0,3.66,0.0
20050102:0030,0.0,0.0,0.0,0.0,0.0,5.6,4.28,0.0
20050102:0130,0.0,0.0,0.0,0.0,0.0,6.12,4.48,0.0
20050102:0230,0.0,0.0,0.0,0.0,0.0,6.54,5.03,0.0
20050102:0330,0.0,0.0,0.0,0.0,0.0,6.96,5.45,0.0
20050102:0430,0.0,0.0,0.0,0.0,0.0,7.25,5.38,0.0
20050102:0530,0.0,0.0,0.0,0.0,0.0,7.32,5.79,0.0
20050102:0630,0.0,0.0,0.0,0.0,0.0,7.04,5.59,0.0
20050102:0730,0.0,0.0,4.0,0.11,1.41,6.7,5.79,0.0
20050102:0830,65.0,57.75,30.18,0.96,8.27,5.91,4.76,0.0
20050102:0930,119.93,85.21,61.77,1.99,13.48,5.34,4.9,0.0
20050102:1030,138.92,73.53,93.6,2.81,16.64,4.9,5.1,0.0
20050102:1130,138.29,54.73,111.72,3.22,17.45,4.55,5.24,0.0
20050102:1230,88.91,14.38,99.2,2.75,15.82,4.29,5.1,0.0
20050102:1330,84.28,28.5,79.97,2.22,11.93,3.98,4.97,0.0
20050102:1430,102.65,81.82,48.58,1.28,6.11,3.77,4.62,0.0
20050102:1530,0.0,0.0,0.0,0.0,-1.22,3.21,4.21,0.0
20050102:1630,0.0,0.0,0.0,0.0,0.0,2.63,4.07,0.0
20050102:1730,0.0,0.0,0.0,0.0,0.0,2.13,4.14,0.0
20050102:1830,0.0,0.0,0.0,0.0,0.0,1.96,4.21,0.0
20050102:1930,0.0,0.0,0.0,0.0,0.0,1.76,4.14,0.0
20050102:2030,0.0,0.0,0.0,0.0,0.0,1.36,4.14,0.0
20050102:2130,0.0,0.0,0.0,0.0,0.0,0.96,4.14,0.0
20050102:2230,0.0,0.0,0.0,0.0,0.0,0.71,4.21,0.0
20050102:2330,0.0,0.0,0.0,0.0,0.0,0.69,4.34,0.0
20050103:0030,0.0,0.0,0.0,0.0,0.0,0.71,4.48,0.0
20050103:0130,0.0,0.0,0.0,0.0,0.0,0.82,4.62,0.0
20050103:0230,0.0,0.0,0.0,0.0,0.0,0.92,4.83,0.0
20050103:0330,0.0,0.0,0.0,0.0,0.0,0.82,4.9,0.0
20050103:0430,0.0,0.0,0.0,0.0,0.0,0.9,5.03,0.0
20050103:0530,0.0,0.0,0.0,0.0,0.0,0.97,5.17,0.0
20050103:0630,0.0,0.0,0.0,0.0,0.0,1.08,5.31,0.0
20050103:0730,0.64,0.0,6.9,0.19,1.43,1.5,5.59,0.0
20050103:0830,28.83,11.22,34.44,0.95,8.31,1.81,5.66,0.0
20050103:0930,55.63,12.03,64.24,1.79,13.54,2.17,4.83,0.0
20050103:1030,248.58,165.28,114.9,3.69,16.72,2.62,7.38,0.0
20050103:1130,196.4,135.29,90.23,3.1,17.54,3.23,7.59,0.0
20050103:1230,35.8,5.15,48.91,1.36,15.93,3.36,7.31,0.0
20050103:1330,11.5,0.0,24.13,0.66,12.05,3.05,5.31,0.0
20050103:1430,5.37,0.47,14.86,0.41,6.24,2.82,5.45,0.0
20050103:1530,0.0,0.0,0.0,0.0,-1.09,2.72,5.24,0.0
20050103:1630,0.0,0.0,0.0,0.0,0.0,2.61,5.1,0.0
20050103:1730,0.0,0.0,0.0,0.0,0.0,2.63,5.1,0.0
20050103:1830,0.0,0.0,0.0,0.0,0.0,2.75,4.97,0.0
20050103:1930,0.0,0.0,0.0,0.0,0.0,2.9,5.03,0.0
20050103:2030,0.0,0.0,0.0,0.0,0.0,3.01,5.1,0.0
20050103:2130,0.0,0.0,0.0,0.0,0.0,3.06,5.31,0.0
20050103:2230,0.0,0.0,0.0,0.0,0.0,3.08,5.31,0.0
20050103:2330,0.0,0.0,0.0,0.0,0.0,3.08,5.17,0.0
20050104:0030,0.0,0.0,0.0,0.0,0.0,3.01,5.24,0.0
20050104:0130,0.0,0.0,0.0,0.0,0.0,2.87,5.38,0.0
