Property_ID,Included_SPF_analysis,Excluded_SPF_analysis_reason,Whole_dataset_start,Whole_dataset_end,Whole_dataset_duration_days,Cleansed_dataset_start,Cleansed_dataset_end,Cleansed_dataset_duration_days,Selected_window_start,Selected_window_end,Max_quality_score_selected_window,Mean_quality_score_selected_window,SPFH2_selected_window,SPFH3_selected_window,SPFH4_selected_window,Whole_System_Energy_Consumed_selected_window,HP_Energy_Output_selected_window,IH_Energy_Consumed_selected_window,BUH_Energy_Consumed_selected_window,CP_Energy_Consumed_selected_window,Boiler_Energy_Output_selected_window,Difference_SPFH2_SCOP,Proportional_difference_SPFH2_SCOP,Ratio_SPFH2_SCOP,Mean_annual_SH_flow_temp_selected_window,Mean_annual_HW_flow_temp_selected_window,Mean_annual_Return_temp_selected_window,Winter_mean_SH_flow_temp_selected_window,Winter_mean_return_temp_selected_window,Max_SH_flow_temp_selected_window,Flow_>65C_flag_selected_window,Proportion_flow_>65C_selected_window,Temp_cleaning_outcome,SW_proportion_complete_Whole_System_Energy_Consumed,SW_proportion_complete_HP_Energy_Output,SW_proportion_complete_IH_Energy_Consumed,SW_proportion_complete_BUH_Energy_Consumed,SW_proportion_complete_CP_Energy_Consumed,SW_proportion_complete_Boiler_Energy_Output,Acceptable_windows_count,Acceptable_windows_SPFH2_mean,Acceptable_windows_SPFH2_std,Acceptable_windows_SPFH2_median,Acceptable_windows_SPFH3_mean,Acceptable_windows_SPFH3_std,Acceptable_windows_SPFH3_median,Acceptable_windows_SPFH4_mean,Acceptable_windows_SPFH4_std,Acceptable_windows_SPFH4_median,Included_coldest_day_analysis,Coldest_day_start,Coldest_day_COPH4,Coldest_day_External_Air_Temp_mean,Coldest_day_External_Air_Temp_max,Coldest_day_External_Air_Temp_min,Coldest_day_Internal_Air_Temp_mean,Coldest_day_Internal_Air_Temp_max,Coldest_day_Internal_Air_Temp_min,Coldest_day_Whole_System_Energy_Consumed,Coldest_day_HP_Energy_Output,Coldest_day_IH_Energy_Consumed,Coldest_day_BUH_Energy_Consumed,Coldest_day_CP_Energy_Consumed,Coldest_day_Boiler_Energy_Output,CD_proportion_complete_Whole_System_Energy_Consumed,CD_proportion_complete_HP_Energy_Output,CD_proportion_complete_IH_Energy_Consumed,CD_proportion_complete_BUH_Energy_Consumed,CD_proportion_complete_CP_Energy_Consumed,CD_proportion_complete_Boiler_Energy_Output
EOH0001,FALSE,Less than 1yr data available,01/12/2021 11:04,15/08/2022 09:16,256.93,01/12/2021 11:04,15/08/2022 09:14,256.92,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,TRUE,22/12/2021 00:00,0.912,0.8,5.1,-4.3,11.92,14.48,10.38,7.73,4.76,2.29,0,0,,1,1,1,,1,
EOH0003,TRUE,,15/04/2021 16:16,28/09/2023 23:58,896.32,15/04/2021 16:18,28/09/2023 23:56,896.32,23/05/2021,23/05/2022,2,0.001,2.737,2.592,2.502,3640.01,8811.39,294.14,0,126.84,,-0.833,-23.33,1.3,30.74,34.23,28.33,33.28,30.53,55.07,FALSE,0,cleaned,0.998,0.998,0.999,,0.998,,478,2.776,0.054,2.75,2.673,0.073,2.676,2.575,0.067,2.578,TRUE,13/12/2022 00:00,1.96,-5.52,-2.97,-7.94,18.14,18.91,16.96,36.15,58.88,11.99,0,0.9,,1,1,1,,1,
EOH0005,TRUE,,21/05/2021 14:00,28/09/2023 23:58,860.42,21/05/2021 14:02,28/09/2023 23:56,860.41,27/07/2022,27/07/2023,2,0.001,3.476,3.476,3.405,3220.01,10964.88,0,0,65.28,,0.086,2.53,0.98,35.6,38.82,33.52,37.54,35.16,76.77,TRUE,0.00007,cleaned,0.999,0.999,,,0.999,,258,3.15,0.439,3.392,3.15,0.439,3.392,3.088,0.428,3.324,TRUE,13/12/2022 00:00,2.698,-6.42,-2.6,-8.37,19.85,21.79,17.95,32.97,88.94,0,0,0.47,,1,1,,,1,
EOH0014,TRUE,,22/06/2021 14:30,29/12/2022 16:26,555.08,29/08/2021 00:00,29/12/2022 16:26,487.68,29/08/2021,29/08/2022,3.3,0.8,2.531,2.531,2.076,1908.84,3962.69,0,0,343.42,3959.46,-0.499,-16.46,1.2,41.46,41.46,35.04,41.69,35.87,56.32,FALSE,0,cleaned,0.972,0.972,,,0.972,0.895,114,2.37,0.089,2.362,2.37,0.089,2.362,1.887,0.105,1.877,FALSE,13/12/2022 00:00,0.02,-5.52,-2.97,-7.94,16.39,19.59,14.42,3.51,0.07,0,0,1.56,77.82,1,1,,,1,1
EOH0018,TRUE,,19/12/2020 10:40,29/09/2023 00:00,1013.56,19/12/2020 10:44,28/09/2023 23:58,1013.55,17/04/2021,17/04/2022,2,0,4.023,4.023,3.788,2384.79,9033.81,0,0,139.08,4534.93,1.063,35.9,0.74,39.42,39.42,34.37,40.31,35.22,64.65,TRUE,0.00001,cleaned,0.999,0.999,,,0.999,0.92,331,4.278,0.342,4.088,4.278,0.342,4.088,4.015,0.294,3.849,FALSE,13/12/2022 00:00,21.19,-5.52,-2.97,-7.94,20.21,21,19.37,3.07,65.05,0,0,1.33,63.94,1,1,,,1,1
EOH0021,TRUE,,17/08/2021 15:30,28/09/2023 23:58,772.35,17/08/2021 15:32,28/09/2023 23:56,772.35,03/05/2022,03/05/2023,2,0.061,3.369,3.337,2.81,3304.87,9248.67,37.07,0,522.53,,-0.441,-11.58,1.13,33.97,36.94,32.12,35.86,33.78,60.22,FALSE,0,cleaned,0.971,0.961,0.971,,0.971,,360,3.39,0.028,3.382,3.359,0.026,3.348,2.832,0.022,2.824,TRUE,13/12/2022 00:00,2.186,-6.42,-2.6,-8.37,17.04,19.37,14.5,50.1,109.51,0,0,4.06,,1,1,1,,1,
EOH0025,FALSE,Less than 1yr data available,15/04/2021 13:04,31/03/2022 23:58,350.45,15/04/2021 13:06,31/03/2022 23:56,350.45,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,TRUE,18/01/2022 00:00,2.827,1.44,5.3,-3.4,19.16,21.09,17.27,15.42,43.6,0,0,0.26,,1,1,1,,1,
EOH0026,TRUE,,05/05/2021 14:20,28/09/2023 23:58,876.4,06/05/2021 00:00,28/09/2023 23:56,876,23/07/2022,23/07/2023,1,0,2.858,2.808,2.724,5231.91,14116.03,135.8,0,156.16,,-0.362,-11.26,1.13,37.76,38.26,34.37,38.25,34.94,55.96,FALSE,0,cleaned,0.999,0.999,0.999,,0.999,,510,2.84,0.016,2.836,2.798,0.014,2.802,2.717,0.013,2.722,TRUE,13/12/2022 00:00,2.367,-5.52,-2.97,-7.94,13.19,13.96,12.49,34.98,78.69,4.13,0,1.04,,1,1,1,,1,
EOH0027,FALSE,Quality score outside threshold,26/07/2021 11:06,27/07/2023 13:18,731.09,06/08/2021 00:00,27/07/2023 13:16,720.55,31/12/2021,31/12/2022,4,2.242,2.858,2.858,2.759,2501.24,6900.68,0,0,86.61,,,,,40.96,41.43,34.64,40.82,35.08,55.26,FALSE,0,cleaned,0.252,0.252,,,0.252,,88,2.826,0.018,2.818,2.826,0.018,2.818,2.729,0.018,2.722,TRUE,16/01/2023 00:00,2.408,-2.4,0.27,-5.71,15.56,16.29,14.98,22.73,54.72,0,0,0.83,,1,1,,,1,
EOH0029,FALSE,Less than 1yr data available,23/11/2021 18:02,17/03/2022 00:04,113.25,23/11/2021 18:04,17/03/2022 00:04,113.25,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,TRUE,04/01/2022 00:00,1.93,-0.99,0.59,-3.3,19.29,21.23,17.95,34.84,67.25,0,0,0.42,,1,1,,,1,
