Household_ID;AffectsTimePoint;Group;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other
5657284;unknown;control;2019-12-21 23:00:00+00:00;2.196;0.606;1.59
5657284;unknown;control;2019-12-21 23:15:00+00:00;1.724;0.008;1.716
5657284;unknown;control;2019-12-21 23:30:00+00:00;2.241;0.61;1.631
5657284;unknown;control;2019-12-21 23:45:00+00:00;1.592;0.028;1.564
5657284;unknown;control;2019-12-22 00:00:00+00:00;1.865;0.334;1.531
5657284;unknown;control;2019-12-22 00:15:00+00:00;1.861;0.301;1.56
5657284;unknown;control;2019-12-22 00:30:00+00:00;1.521;0.033;1.488
5657284;unknown;control;2019-12-22 00:45:00+00:00;2.111;0.625;1.486
5657284;unknown;control;2019-12-22 01:00:00+00:00;1.488;0.007;1.481
5657284;unknown;control;2019-12-22 01:15:00+00:00;2.142;0.633;1.509
5657284;unknown;control;2019-12-22 01:30:00+00:00;1.575;0.008;1.567
5657284;unknown;control;2019-12-22 01:45:00+00:00;2.102;0.58;1.522
5657284;unknown;control;2019-12-22 02:00:00+00:00;1.367;0.388;0.979
5657284;unknown;control;2019-12-22 02:15:00+00:00;0.261;0.02;0.241
5657284;unknown;control;2019-12-22 02:30:00+00:00;1.215;0.942;0.273
5657284;unknown;control;2019-12-22 02:45:00+00:00;0.166;0.008;0.158
5657284;unknown;control;2019-12-22 03:00:00+00:00;0.632;0.499;0.133
5657284;unknown;control;2019-12-22 03:15:00+00:00;0.476;0.358;0.118
5657284;unknown;control;2019-12-22 03:30:00+00:00;0.252;0.034;0.218
5657284;unknown;control;2019-12-22 03:45:00+00:00;1.764;0.778;0.986
5657284;unknown;control;2019-12-22 04:00:00+00:00;1.296;0.008;1.288
5657284;unknown;control;2019-12-22 04:15:00+00:00;0.918;0.744;0.174
5657284;unknown;control;2019-12-22 04:30:00+00:00;0.255;0.092;0.163
5657284;unknown;control;2019-12-22 04:45:00+00:00;0.48;0.263;0.217
5657284;unknown;control;2019-12-22 05:00:00+00:00;0.85;0.587;0.263
5657284;unknown;control;2019-12-22 05:15:00+00:00;0.23;0.008;0.222
5657284;unknown;control;2019-12-22 05:30:00+00:00;1.049;0.858;0.191
5657284;unknown;control;2019-12-22 05:45:00+00:00;0.207;0.008;0.199
5657284;unknown;control;2019-12-22 06:00:00+00:00;0.708;0.497;0.211
5657284;unknown;control;2019-12-22 06:15:00+00:00;0.634;0.41;0.224
5657284;unknown;control;2019-12-22 06:30:00+00:00;0.224;0.02;0.204
5657284;unknown;control;2019-12-22 06:45:00+00:00;0.979;0.847;0.132
5657284;unknown;control;2019-12-22 07:00:00+00:00;0.175;0.008;0.167
5657284;unknown;control;2019-12-22 07:15:00+00:00;0.892;0.668;0.224
5657284;unknown;control;2019-12-22 07:30:00+00:00;0.367;0.123;0.244
5657284;unknown;control;2019-12-22 07:45:00+00:00;0.502;0.185;0.317
5657284;unknown;control;2019-12-22 08:00:00+00:00;1.26;0.639;0.621
5657284;unknown;control;2019-12-22 08:15:00+00:00;0.682;0.008;0.674
5657284;unknown;control;2019-12-22 08:30:00+00:00;1.22;0.779;0.441
5657284;unknown;control;2019-12-22 08:45:00+00:00;0.29;0.01;0.28
5657284;unknown;control;2019-12-22 09:00:00+00:00;0.582;0.418;0.164
5657284;unknown;control;2019-12-22 09:15:00+00:00;0.54;0.378;0.162
5657284;unknown;control;2019-12-22 09:30:00+00:00;0.18;0.019;0.161
5657284;unknown;control;2019-12-22 09:45:00+00:00;0.872;0.728;0.144
5657284;unknown;control;2019-12-22 10:00:00+00:00;0.184;0.007;0.177
5657284;unknown;control;2019-12-22 10:15:00+00:00;1.309;0.721;0.588
5657284;unknown;control;2019-12-22 10:30:00+00:00;0.804;0.035;0.769
5657284;unknown;control;2019-12-22 10:45:00+00:00;0.848;0.335;0.513
5657284;unknown;control;2019-12-22 11:00:00+00:00;0.734;0.422;0.312
5657284;unknown;control;2019-12-22 11:15:00+00:00;0.263;0.02;0.243
5657284;unknown;control;2019-12-22 11:30:00+00:00;0.91;0.685;0.225
5657284;unknown;control;2019-12-22 11:45:00+00:00;0.227;0.008;0.219
5657284;unknown;control;2019-12-22 12:00:00+00:00;1.324;0.707;0.617
5657284;unknown;control;2019-12-22 12:15:00+00:00;0.759;0.03;0.729
5657284;unknown;control;2019-12-22 12:30:00+00:00;1.209;0.342;0.867
5657284;unknown;control;2019-12-22 12:45:00+00:00;0.993;0.391;0.602
5657284;unknown;control;2019-12-22 13:00:00+00:00;0.454;0.02;0.434
5657284;unknown;control;2019-12-22 13:15:00+00:00;1.075;0.693;0.382
5657284;unknown;control;2019-12-22 13:30:00+00:00;0.466;0.008;0.458
5657284;unknown;control;2019-12-22 13:45:00+00:00;1.133;0.675;0.458
5657284;unknown;control;2019-12-22 14:00:00+00:00;0.389;0.024;0.365
5657284;unknown;control;2019-12-22 14:15:00+00:00;0.724;0.424;0.3
5657284;unknown;control;2019-12-22 14:30:00+00:00;0.958;0.311;0.647
5657284;unknown;control;2019-12-22 14:45:00+00:00;0.926;0.034;0.892
5657284;unknown;control;2019-12-22 15:00:00+00:00;1.141;0.701;0.44
5657284;unknown;control;2019-12-22 15:15:00+00:00;0.459;0.008;0.451
5657284;unknown;control;2019-12-22 15:30:00+00:00;1.445;0.704;0.741
5657284;unknown;control;2019-12-22 15:45:00+00:00;0.469;0.01;0.459
5657284;unknown;control;2019-12-22 16:00:00+00:00;0.935;0.419;0.516
5657284;unknown;control;2019-12-22 16:15:00+00:00;1.229;0.325;0.904
5657284;unknown;control;2019-12-22 16:30:00+00:00;0.624;0.033;0.591
5657284;unknown;control;2019-12-22 16:45:00+00:00;1.291;0.7;0.591
5657284;unknown;control;2019-12-22 17:00:00+00:00;0.721;0.008;0.713
5657284;unknown;control;2019-12-22 17:15:00+00:00;1.387;0.741;0.646
5657284;unknown;control;2019-12-22 17:30:00+00:00;1.113;0.019;1.094
5657284;unknown;control;2019-12-22 17:45:00+00:00;1.617;0.421;1.196
5657284;unknown;control;2019-12-22 18:00:00+00:00;1.844;0.361;1.483
5657284;unknown;control;2019-12-22 18:15:00+00:00;0.899;0.034;0.865
5657284;unknown;control;2019-12-22 18:30:00+00:00;1.207;0.752;0.455
5657284;unknown;control;2019-12-22 18:45:00+00:00;0.335;0.008;0.327
5657284;unknown;control;2019-12-22 19:00:00+00:00;1.855;0.725;1.13
5657284;unknown;control;2019-12-22 19:15:00+00:00;0.587;0.035;0.552
5657284;unknown;control;2019-12-22 19:30:00+00:00;0.777;0.335;0.442
5657284;unknown;control;2019-12-22 19:45:00+00:00;0.848;0.431;0.417
5657284;unknown;control;2019-12-22 20:00:00+00:00;0.441;0.021;0.42
5657284;unknown;control;2019-12-22 20:15:00+00:00;1.296;0.763;0.533
5657284;unknown;control;2019-12-22 20:30:00+00:00;0.314;0.008;0.306
5657284;unknown;control;2019-12-22 20:45:00+00:00;1.036;0.717;0.319
5657284;unknown;control;2019-12-22 21:00:00+00:00;0.328;0.033;0.295
5657284;unknown;control;2019-12-22 21:15:00+00:00;0.709;0.342;0.367
5657284;unknown;control;2019-12-22 21:30:00+00:00;0.494;0.164;0.33
5657284;unknown;control;2019-12-22 21:45:00+00:00;0.595;0.185;0.41
5657284;unknown;control;2019-12-22 22:00:00+00:00;0.826;0.376;0.45
5657284;unknown;control;2019-12-22 22:15:00+00:00;0.714;0.02;0.694
5657284;unknown;control;2019-12-22 22:30:00+00:00;0.822;0.579;0.243
5657284;unknown;control;2019-12-22 22:45:00+00:00;1.556;0.008;1.548
5657284;unknown;control;2019-12-22 23:00:00+00:00;2.181;0.6;1.581
5657284;unknown;control;2019-12-22 23:15:00+00:00;1.966;0.008;1.958
5657284;unknown;control;2019-12-22 23:30:00+00:00;2.283;0.57;1.713
5657284;unknown;control;2019-12-22 23:45:00+00:00;1.502;0.02;1.482
5657284;unknown;control;2019-12-23 00:00:00+00:00;1.917;0.416;1.501
5657284;unknown;control;2019-12-23 00:15:00+00:00;1.738;0.198;1.54
5657284;unknown;control;2019-12-23 00:30:00+00:00;1.7;0.177;1.523
5657284;unknown;control;2019-12-23 00:45:00+00:00;1.947;0.459;1.488
5657284;unknown;control;2019-12-23 01:00:00+00:00;1.53;0.008;1.522
5657284;unknown;control;2019-12-23 01:15:00+00:00;2.212;0.635;1.577
5657284;unknown;control;2019-12-23 01:30:00+00:00;1.576;0.008;1.568
5657284;unknown;control;2019-12-23 01:45:00+00:00;2.248;0.73;1.518
