utc_timestamp,DE_KN_residential1_heat_pump,Fraction,DE_KN_residential4_heat_pump,Fraction.1
2016-01-01 00:15:00,2207.43,0.0,787.879,0.0
2016-01-01 00:30:00,2207.43,0.0,788.199,0.32
2016-01-01 00:45:00,2207.432,0.002,788.219,0.02
2016-01-01 01:00:00,2207.442,0.01,788.487,0.268
2016-01-01 01:15:00,2207.729,0.287,788.537,0.05
2016-01-01 01:30:00,2207.729,0.0,788.587,0.05
2016-01-01 01:45:00,2207.729,0.0,788.876,0.289
2016-01-01 02:00:00,2207.879,0.15,788.897,0.021
2016-01-01 02:15:00,2208.031,0.152,789.194,0.297
2016-01-01 02:30:00,2208.459,0.428,789.209,0.015
2016-01-01 02:45:00,2208.469,0.01,789.371,0.162
2016-01-01 03:00:00,2208.701,0.232,789.549,0.178
2016-01-01 03:15:00,2208.879,0.178,789.569,0.02
2016-01-01 03:30:00,2208.879,0.0,789.869,0.3
2016-01-01 03:45:00,2209.059,0.18,789.889,0.02
2016-01-01 04:00:00,2209.191,0.132,790.112,0.223
2016-01-01 04:15:00,2210.043,0.852,790.219,0.107
2016-01-01 04:30:00,2210.284,0.241,790.306,0.087
2016-01-01 04:45:00,2211.164,0.88,790.549,0.243
2016-01-01 05:00:00,2211.789,0.625,790.567,0.018
2016-01-01 05:15:00,2212.132,0.343,790.881,0.314
2016-01-01 05:30:00,2213.026,0.894,790.907,0.026
2016-01-01 05:45:00,2213.196,0.17,791.162,0.255
2016-01-01 06:00:00,2214.086,0.89,791.227,0.065
2016-01-01 06:15:00,2214.389,0.303,791.295,0.068
2016-01-01 06:30:00,2214.895,0.506,791.559,0.264
2016-01-01 06:45:00,2215.537,0.642,791.576,0.017
2016-01-01 07:00:00,2215.6,0.063,791.886,0.31
2016-01-01 07:15:00,2216.057,0.457,791.907,0.021
2016-01-01 07:30:00,2216.328,0.271,792.152,0.245
2016-01-01 07:45:00,2216.544,0.216,792.237,0.085
2016-01-01 08:00:00,2216.561,0.017,792.354,0.117
2016-01-01 08:15:00,2217.078,0.517,792.567,0.213
2016-01-01 08:30:00,2217.09,0.012,792.586,0.019
2016-01-01 08:45:00,2217.414,0.324,792.899,0.313
2016-01-01 09:00:00,2218.279,0.865,792.919,0.02
2016-01-01 09:15:00,2218.279,0.0,793.197,0.278
2016-01-01 09:30:00,2218.289,0.01,793.239,0.042
2016-01-01 09:45:00,2218.824,0.535,793.334,0.095
2016-01-01 10:00:00,2219.209,0.385,793.952,0.618
2016-01-01 10:15:00,2219.219,0.01,794.627,0.675
2016-01-01 10:30:00,2219.379,0.16,794.677,0.05
2016-01-01 10:45:00,2219.417,0.038,794.792,0.115
2016-01-01 11:00:00,2220.148,0.731,795.029,0.237
2016-01-01 11:15:00,2220.158,0.01,795.049,0.02
2016-01-01 11:30:00,2220.426,0.268,795.356,0.307
2016-01-01 11:45:00,2221.001,0.575,795.379,0.023
2016-01-01 12:00:00,2221.42,0.419,795.615,0.236
2016-01-01 12:15:00,2221.619,0.199,795.699,0.084
2016-01-01 12:30:00,2221.639,0.02,795.709,0.01
2016-01-01 12:45:00,2222.449,0.81,796.207,0.498
2016-01-01 13:00:00,2222.779,0.33,796.907,0.7
2016-01-01 13:15:00,2222.802,0.023,797.227,0.32
2016-01-01 13:30:00,2222.959,0.157,797.247,0.02
2016-01-01 13:45:00,2222.959,0.0,797.579,0.332
2016-01-01 14:00:00,2223.139,0.18,797.599,0.02
2016-01-01 14:15:00,2223.249,0.11,797.724,0.125
2016-01-01 14:30:00,2223.439,0.19,797.919,0.195
2016-01-01 14:45:00,2223.732,0.293,797.947,0.028
2016-01-01 15:00:00,2224.583,0.851,798.247,0.3
2016-01-01 15:15:00,2224.6,0.017,798.267,0.02
2016-01-01 15:30:00,2225.204,0.604,798.422,0.155
2016-01-01 15:45:00,2225.457,0.253,798.599,0.177
2016-01-01 16:00:00,2225.479,0.022,798.639,0.04
2016-01-01 16:15:00,2226.167,0.688,798.917,0.278
2016-01-01 16:30:00,2226.68,0.513,798.937,0.02
2016-01-01 16:45:00,2227.137,0.457,799.192,0.255
2016-01-01 17:00:00,2227.367,0.23,799.267,0.075
2016-01-01 17:15:00,2228.169,0.802,799.394,0.127
2016-01-01 17:30:00,2228.72,0.551,799.636,0.242
2016-01-01 17:45:00,2228.84,0.12,799.649,0.013
2016-01-01 18:00:00,2228.84,0.0,799.989,0.34
2016-01-01 18:15:00,2229.489,0.649,800.007,0.018
2016-01-01 18:30:00,2229.639,0.15,800.282,0.275
2016-01-01 18:45:00,2229.641,0.002,800.359,0.077
2016-01-01 19:00:00,2229.648,0.007,800.454,0.095
2016-01-01 19:15:00,2229.891,0.243,800.699,0.245
2016-01-01 19:30:00,2229.898,0.007,800.719,0.02
2016-01-01 19:45:00,2230.129,0.231,801.119,0.4
2016-01-01 20:00:00,2230.176,0.047,801.811,0.692
2016-01-01 20:15:00,2230.561,0.385,802.379,0.568
2016-01-01 20:30:00,2230.568,0.007,802.399,0.02
2016-01-01 20:45:00,2230.784,0.216,802.732,0.333
2016-01-01 21:00:00,2231.675,0.891,802.779,0.047
2016-01-01 21:15:00,2231.689,0.014,802.907,0.128
2016-01-01 21:30:00,2231.699,0.01,803.086,0.179
2016-01-01 21:45:00,2232.392,0.693,803.106,0.02
2016-01-01 22:00:00,2232.469,0.077,803.415,0.309
2016-01-01 22:15:00,2232.469,0.0,803.447,0.032
2016-01-01 22:30:00,2232.784,0.315,803.584,0.137
2016-01-01 22:45:00,2233.318,0.534,803.759,0.175
2016-01-01 23:00:00,2233.379,0.061,803.779,0.02
2016-01-01 23:15:00,2233.379,0.0,804.096,0.317
2016-01-01 23:30:00,2233.389,0.01,804.116,0.02
2016-01-01 23:45:00,2233.389,0.0,804.316,0.2
2016-01-02 00:00:00,2233.389,0.0,804.437,0.121
2016-01-02 00:15:00,2233.398,0.009,804.457,0.02
2016-01-02 00:30:00,2233.879,0.481,804.779,0.322
2016-01-02 00:45:00,2233.879,0.0,804.797,0.018
2016-01-02 01:00:00,2233.879,0.0,805.077,0.28
2016-01-02 01:15:00,2233.889,0.01,805.109,0.032
2016-01-02 01:30:00,2233.889,0.0,805.249,0.14
2016-01-02 01:45:00,2234.219,0.33,805.439,0.19
2016-01-02 02:00:00,2234.229,0.01,805.459,0.02
2016-01-02 02:15:00,2234.271,0.042,805.769,0.31
2016-01-02 02:30:00,2234.549,0.278,805.789,0.02
2016-01-02 02:45:00,2234.782,0.233,806.051,0.262
2016-01-02 03:00:00,2234.789,0.007,806.109,0.058
2016-01-02 03:15:00,2235.209,0.42,806.214,0.105
2016-01-02 03:30:00,2235.209,0.0,806.449,0.235
2016-01-02 03:45:00,2235.554,0.345,806.475,0.026
2016-01-02 04:00:00,2235.676,0.122,806.777,0.302
2016-01-02 04:15:00,2236.534,0.858,806.797,0.02
2016-01-02 04:30:00,2237.467,0.933,807.004,0.207
2016-01-02 04:45:00,2238.26,0.793,807.136,0.132
2016-01-02 05:00:00,2238.704,0.444,807.239,0.103
2016-01-02 05:15:00,2239.618,0.914,807.457,0.218
2016-01-02 05:30:00,2239.859,0.241,807.477,0.02
2016-01-02 05:45:00,2239.882,0.023,807.779,0.302
2016-01-02 06:00:00,2240.737,0.855,807.799,0.02
2016-01-02 06:15:00,2241.764,1.027,808.087,0.288
2016-01-02 06:30:00,2242.084,0.32,808.136,0.049
