Index;year1;year2;year3;year4;year5;year6;year7;year8
48.0;-806.400239169067;-1862.7536037718212;-3230.152398722479;-4195.1060844326075;-5145.751611923116;-7555.2155238549085;-10727.768033720116;-12907.484054392062
50.0;-749.2890996388503;-1739.8168051542364;-3025.5125434184174;-3922.7468715037653;-4817.943479927311;-7096.31840576912;-9952.347260565393;-12013.589017286175
52.0;-692.1352727404833;-1616.8504153705185;-2820.6264818703735;-3650.165775147106;-4489.807984377006;-6637.078427268382;-9177.039244612679;-11119.375348115527
54.0;-634.918602018477;-1493.8631193410988;-2615.6400659906176;-3377.459501564379;-4161.503314979964;-6177.703619154453;-8401.28985644006;-10224.41931154354
46.0;-863.5471691425807;-1985.6852702124684;-3434.6235320435294;-4467.1767551572475;-5473.160599377068;-8013.323552760189;-11502.746561528407;-13800.48404831325
58.0;-520.418455771285;-1247.65227426769;-2205.348152305736;-2831.4244897098292;-3504.133738851407;-5257.6851201170475;-6847.18192468237;-8431.371826603528
56.0;-577.6338253495353;-1370.7279719714788;-2410.4901848950376;-3104.45609373251;-3832.870872535876;-5717.844496596575;-7624.7374746788255;-9328.416864675857
60.0;-463.1298853525604;-1124.4838902822164;-2000.0749336068761;-2558.2523304960146;-3175.198316757609;-4797.336380958525;-6069.216413643873;-7534.00760261011
62.0;-405.85229128090305;-1001.256739494845;-1794.7634954577438;-2285.066345248451;-2846.2084426232673;-4336.805558824373;-5290.965403340292;-6636.121503809894
64.0;-1263.6046978552854;-2846.4476826795517;-4867.60813890764;-6374.187515985255;-7770.339020409211;-11229.222820207244;-16939.08647568649;-20076.001224455224
65.0;-1213.021920208464;-2736.7875258911595;-4699.311863446393;-6155.5722963504995;-7502.409443424558;-10846.447351049275;-16298.6560201842;-19317.686145559008
66.0;-1206.2934537035783;-2723.157056995911;-4662.352128284861;-6101.132193367505;-7441.558324246191;-10768.846496056902;-16161.466277413994;-19178.60478620977
61.0;-433.48214487365794;-1060.7966013667751;-1903.5900665110107;-2434.8936861427737;-3025.477536855045;-4584.231373609136;-5724.995853865274;-7127.102629642634
68.0;-1149.0399160722436;-2600.0057180881076;-4457.325808160185;-5828.416159871032;-7113.146003617796;-10308.959667332112;-15384.859288727186;-18282.14341342422
57.0;-548.104773216107;-1307.3780225476778;-2314.1029851663966;-2981.0075458561114;-3683.041903070289;-5504.985685075256;-7280.24087165373;-8921.895061362404
70.0;-1091.3628778603186;-2476.0051719021285;-4251.212502130295;-5553.7814495141365;-6782.207733223347;-9844.815127340624;-14590.207361257002;-17362.74710909375
49.0;-777.3498512261285;-1800.5430513749823;-3135.1284919860213;-4073.229502032692;-4998.166968416246;-7346.494336670748;-10390.701920805408;-12511.458184524172
72.0;-1033.232205184082;-2351.4552297200817;-4043.632983037318;-5276.031674161231;-6446.255104854106;-9374.482556592613;-13782.001212895251;-16424.705355664933
53.0;-662.7276589327295;-1553.9620921464273;-2724.616508740649;-3527.1176645461105;-4340.601507455177;-6425.7342678355035;-8835.452209703932;-10716.66161893323
74.0;-976.2766368351644;-2228.341743169683;-3837.9314232882302;-5001.7814623296;-6115.05605829395;-8909.932866061663;-12990.914691733422;-15508.139095587541
47.0;-834.6611447859733;-1923.831272479829;-3340.3824333413236;-4346.282032948816;-5326.944456889824;-7806.869080507414;-11168.32959542365;-13408.867713597314
76.0;-919.5937692512198;-2106.0110587028444;-3633.893733775167;-4730.322138010643;-5787.504565025045;-8450.33068374499;-12216.744938744383;-14613.542457473659
63.0;-376.170630518937;-937.5056392315039;-1698.3341210345318;-2161.837857741838;-2696.6931984584644;-4123.849002975625;-4947.376564316388;-6229.7003306303895
78.0;-862.8244711326445;-1983.4703550933475;-3430.0044227544404;-4459.272525891996;-5460.626506701201;-7992.175153645069;-11443.863618052632;-13721.758264933866
55.0;-605.4150634309619;-1430.6665131591478;-2519.355984222759;-3254.0578958289216;-4011.8160170035703;-5965.354336301885;-8057.837853856092;-9819.276980744138
80.0;-805.6588753467892;-1860.6938965455502;-3225.8650121558217;-4187.907649963253;-5133.6647785711575;-7535.243196970069;-10670.012661278106;-12829.540017639321
59.0;-490.7936432564931;-1184.0850436480125;-2108.845040003613;-2707.948479189522;-3354.2579211025622;-5044.610563360237;-6502.627002449002;-8024.512275526244
82.0;-748.5934310418652;-1737.8613048638679;-3021.741258461629;-3916.3728165024545;-4807.117998256343;-7078.734289574973;-9897.985394968508;-11940.328896394421
51.0;-720.0380595827144;-1677.2511065108092;-2929.871577445649;-3800.172381552155;-4669.38161593977;-6886.114478922612;-9613.09133879814;-11614.078281585302
84.0;-691.5516585114781;-1615.0695321006785;-2817.410337909983;-3644.659577623703;-4480.184513854844;-6621.400778053346;-9126.284048311365;-11051.327325887802
67.0;-1155.7100579085159;-2613.4975949670547;-4494.057145962825;-5882.518538965302;-7173.63200581006;-10386.07472488396;-15521.057517344147;-18420.321161954962
69.0;-1098.3977676265977;-2490.2044688736046;-4288.798377730698;-5609.463905670733;-6844.85805351276;-9925.715050042292;-14743.450930411882;-17522.944182010553
86.0;-634.421536048668;-1492.3140718838195;-2612.859150620139;-3372.6760547794047;-4152.898209173826;-6163.691158856613;-8354.165099995053;-10161.178253862574
88.0;-577.2722880270742;-1369.4678385995846;-2408.08122172927;-3100.3536270520317;-3825.271663680229;-5705.491612121948;-7581.295927534413;-9269.719863696047
73.0;-983.7759939144948;-2243.6214803273024;-3878.2856269590084;-5063.3485526371605;-6187.289579401009;-9004.953196013106;-13188.198301399207;-15728.145667724395
90.0;-520.1647185246627;-1246.552708677371;-2203.1907706519;-2827.8225655904184;-3497.2678778606255;-5246.675902751772;-6807.214692467699;-8377.080094682453
71.0;-1041.0898096767578;-2366.9160982504604;-4083.5490213100256;-5336.413304620416;-6516.079468508323;-9465.341670557358;-13965.840097262319;-16625.566748861478
75.0;-926.463976762896;-2120.3340865825608;-3673.031187093242;-4790.294741637845;-5858.50954948194;-8544.591449720103;-12410.615298393865;-14830.797122981405
77.0;-869.1517843798246;-1997.0420282552561;-3467.7766501126416;-4517.244313288534;-5529.736368379652;-8084.220810906502;-11633.014857129805;-13933.422364706861
79.0;-811.8410373027881;-1873.748893242344;-3262.515135899963;-4244.181547225687;-5200.9475817200155;-7623.834899688985;-10855.369475165622;-13035.99209518408
81.0;-754.5317408582475;-1750.4598871418207;-3057.263299800804;-3971.131322037876;-4872.170187095557;-7163.46044112919;-10077.76353543522;-12138.615900724144
83.0;-697.2200060088496;-1627.1712108199986;-2852.005212698652;-3698.072082980415;-4543.386543611643;-6703.080479651369;-9300.134277644878;-11241.211910216616
85.0;-639.9079364426358;-1503.881219208856;-2646.753445700658;-3425.0195719684702;-4214.606680786825;-6242.702661898666;-8522.523383012474;-10343.825654819577
87.0;-582.5973365264076;-1380.590018797936;-2441.4969237955793;-3151.965656561811;-3885.8279831932387;-5782.325775056707;-7744.8926312995745;-9446.415913253935
89.0;-525.2872560201698;-1257.2991988130786;-2236.2386202756466;-2878.90545255755;-3557.041277541226;-5321.946715278263;-6967.272479695206;-8549.016625742064
91.0;-467.9749583225748;-1134.0075246177132;-2030.983078925017;-2605.853283582499;-3228.2660969420094;-4861.577604077914;-6189.667494215249;-7651.644055494099
