Index;year1;year2;year3;year4;year5;year6;year7;year8
128.0;-1263.6046978552854;-2846.4476826795517;-4867.60813890764;-6374.187515985255;-7770.339020409211;-11229.222820207244;-16939.08647568649;-20076.001224455224
130.0;-1206.2934537035783;-2723.157056995911;-4662.352128284861;-6101.132193367505;-7441.558324246191;-10768.846496056902;-16161.466277413994;-19178.60478620977
132.0;-1149.0399160722436;-2600.0057180881076;-4457.325808160185;-5828.416159871032;-7113.146003617796;-10308.959667332112;-15384.859288727186;-18282.14341342422
134.0;-1091.3628778603186;-2476.0051719021285;-4251.212502130295;-5553.78157154442;-6782.222010365192;-9844.822448259916;-14590.14298631937;-17362.68273415612
126.0;-405.8299559003432;-999.8231402198638;-1791.118211418112;-2279.854018016124;-2834.38438544925;-4315.0250311167265;-5214.9973522225755;-6528.588895578295
138.0;-975.7589847093144;-2227.5691848540405;-3837.0329354586997;-4999.406801706288;-6110.98923246618;-8902.674551671456;-12957.417566518712;-15462.40787503747
140.0;-919.0642404277064;-2104.858631101966;-3632.0371286322606;-4726.165378659862;-5780.099412760195;-8437.002935753671;-12162.148084333476;-14535.330425915852
136.0;-1032.9732407719061;-2351.097992735967;-4043.3129193783448;-5275.364756642322;-6445.273482254918;-9372.228175336;-13769.075661663586;-16408.6352293197
142.0;-862.6059875459443;-1982.9785096378705;-3427.984976416163;-4454.727024642328;-5451.681622886931;-7974.137283670966;-11376.148350377236;-13625.033681835173
144.0;-805.7230186933538;-1860.7906886303224;-3223.786231472943;-4183.550506510544;-5122.971356107036;-7511.748724567601;-10593.37431214044;-12721.185315235065
135.0;-1010.8735941402634;-2296.9575922167255;-3971.0506757607786;-5185.67220447989;-6326.277640972624;-9175.031622402663;-13435.540854320365;-15982.654103132021
146.0;-748.4915459869219;-1737.8498754263883;-3018.8437525270824;-3911.5891801004595;-4794.608297928678;-7051.920826328067;-9813.898946042053;-11821.850850784129
133.0;-1068.185127708364;-2420.248085844986;-4176.304842285797;-5458.721540081716;-6655.05244986169;-9635.3972658336;-14213.130859642533;-16880.008948811836
148.0;-691.4574966193641;-1614.8585362977356;-2813.9078944219796;-3639.331110240734;-4466.679677749958;-6594.441508414554;-9039.581269092214;-10928.589706918392
131.0;-1125.4967034047327;-2543.5387832090128;-4381.561783825534;-5731.777727766938;-6983.8296247244125;-10095.76738640027;-14990.73454451972;-17777.38029373973
137.0;-953.5629721034778;-2173.6662917912618;-3765.794130639888;-4912.612058338766;-5997.491164490924;-8714.6481516049;-12657.906125324731;-15085.236873070608
129.0;-1182.8088399525957;-2666.8312027060124;-4586.821362247012;-6004.835370565094;-7312.616539744548;-10556.148630243326;-15768.366477798807;-18674.7915616824
150.0;-634.1896975203617;-1491.5960225473177;-2608.9290630589303;-3367.228664915408;-4139.28235071487;-6137.575243958126;-8269.544278237077;-10039.32646566716
152.0;-576.837742214647;-1368.2524372193961;-2403.835452417413;-3094.9163539829133;-3811.810112463539;-5679.901198076825;-7499.856703608534;-9150.603459568607
139.0;-896.2510859479459;-2050.3744758659286;-3560.5370430117396;-4639.555938624767;-5668.710629852716;-8254.269705395405;-11880.285204353186;-14187.842616809397
141.0;-838.9403383533497;-1927.0858234355776;-3355.28278137115;-4366.501066033845;-5339.927996101087;-7793.890958702502;-11102.666064618325;-13290.447396944182
154.0;-519.6855970924219;-1245.14611159145;-2198.8929371440577;-2822.6095127280414;-3484.3796657727594;-5221.37696370148;-6727.328426251944;-8259.271239981961
127.0;-335.9379160103404;-847.8168350696606;-1557.4044624640226;-1975.8057346564524;-2465.7136751852595;-3782.993343100035;-4352.39891573474;-5516.722567220223
156.0;-462.6636975685684;-1122.254395032311;-1994.024178096646;-2550.268255730356;-3156.7993801754124;-4762.2514831670915;-5953.870332470215;-7366.675443154034
143.0;-781.6288159826279;-1803.794489467068;-3150.0250006309525;-4093.443791160467;-5011.146667057787;-7333.513105408023;-10325.038788607839;-12393.04158424752
158.0;-405.6187528428665;-999.4122199605531;-1789.2516202997595;-2277.9578822201697;-2829.18919113301;-4303.357023689233;-5181.1705198386135;-6475.671541935614
160.0;-1263.6046978552854;-2846.4476826795517;-4867.60813890764;-6374.187515985255;-7770.339020409211;-11229.222820207244;-16939.08647568649;-20076.001224455224
145.0;-724.3178095617261;-1680.501672562233;-2944.7679465928422;-3820.384744988289;-4682.360283786857;-6873.129087789448;-9547.412991360405;-11495.641011336838
162.0;-1206.2934537035783;-2723.157056995911;-4662.352128284861;-6101.132193367505;-7441.558324246191;-10768.846496056902;-16161.466277413994;-19178.60478620977
164.0;-1149.0399160722436;-2600.0057180881076;-4457.325808160185;-5828.416159871032;-7113.146003617796;-10308.959667332112;-15384.859288727186;-18282.14341342422
147.0;-667.0060159940422;-1557.2103794345437;-2739.5119194282024;-3547.3315642670564;-4353.5825556328255;-6412.756308994731;-8769.805330621695;-10598.258301317472
166.0;-1091.3628778603186;-2476.0051719021285;-4251.212502130295;-5553.78157154442;-6782.222010365192;-9844.822448259916;-14590.14298631937;-17362.68273415612
149.0;-609.6948705033309;-1433.9220717645926;-2534.257121659003;-3274.275465989653;-4024.7976139960706;-5952.362656274885;-7992.134995557989;-9700.799312859826
168.0;-1032.9732407719061;-2351.0962739106412;-4043.3067250087042;-5275.325830360918;-6445.246531688693;-9372.203619830807;-13768.69467038373;-16408.217221711046
151.0;-552.3842680337267;-1310.6315835389273;-2329.000925959935;-3001.219885698372;-3696.0177292889794;-5491.993995415975;-7214.544826796409;-8803.439098142017
161.0;-1173.6063584388492;-2643.920166764554;-4548.940736357219;-5952.984688419401;-7245.817098787985;-10447.781368601254;-15555.31097391112;-18412.073972588696
153.0;-495.07320742417886;-1187.3416190848295;-2123.746963960904;-2728.163910132831;-3367.23701205357;-5031.623143471392;-6436.939498489057;-7906.068930057099
170.0;-975.588418879186;-2227.435852649054;-3836.9152970006476;-4999.1045635867;-6110.537027673062;-8901.715233566358;-12953.886101608514;-15457.008919370443
163.0;-1116.2945111697024;-2520.6271250828936;-4343.683572496401;-5679.926388902881;-6917.034717384518;-9987.409032668767;-14777.705037970552;-17514.693857118145
174.0;-862.1708411615859;-1982.5101509960562;-3427.2979675380443;-4453.190301947407;-5449.379844066757;-7970.316096811942;-11362.714482452624;-13604.712841233422
155.0;-437.7612817540423;-1064.0480618729164;-1918.4849674138477;-2455.1018657519594;-3038.4451620129803;-4571.223661818404;-5659.272068209564;-7008.610458639084
172.0;-918.8300736582878;-2104.5161022692205;-3631.686720789616;-4725.0450034942205;-5778.52248841643;-8434.387721196608;-12154.790924192488;-14523.660550281511
157.0;-380.4511079149579;-940.7603099752063;-1713.2344502398907;-2182.0525652197307;-2709.675358205267;-4110.867959279504;-4881.696638165365;-6111.2693197813505
165.0;-1058.9828183380362;-2397.336580617067;-4138.425466814153;-5406.871636383747;-6588.254544134512;-9527.03741684131;-14000.099894243269;-16617.319012434702
176.0;-805.2151812297751;-1860.343383482778;-3222.856039643462;-4181.713408780219;-5120.287430157823;-7506.641033683775;-10574.416698368776;-12693.480181628964
180.0;-690.9627664435018;-1614.5751836950978;-2812.8414403905144;-3637.623365014072;-4462.850680054589;-6585.811174586942;-9012.312208391184;-10890.288044218489
159.0;-323.13922161770995;-817.4694915711768;-1507.9777430619638;-1908.9986674759912;-2380.8958583071562;-3650.4927024065883;-4104.080629772354;-5213.875386117397
178.0;-748.0959536943865;-1737.648038072041;-3017.9987657965216;-3909.8791781429445;-4791.307225216251;-7044.936888778489;-9789.760562551615;-11788.06184081161
182.0;-633.7642712858888;-1491.4586430139875;-2607.856473676254;-3365.559184113164;-4135.068461949174;-6128.3999877614615;-8239.390514731613;-9997.673418185985
184.0;-576.4639019228703;-1368.1781700842564;-2402.811958689767;-3093.3879180145486;-3807.524810119401;-5670.809673215948;-7469.136001997453;-9107.071150966487
167.0;-1001.6731427023605;-2274.0466192810572;-3933.1728143353557;-5133.818834281854;-6259.475409963489;-9066.662016989048;-13222.470465824763;-15719.913209067898
186.0;-519.3976809897382;-1245.1824926646073;-2198.127045586008;-2821.482178480359;-3480.5124436603664;-5212.951959676993;-6698.2680312242255;-8216.619205457755
169.0;-944.3619858129039;-2150.757471024655;-3727.9156598001528;-4860.761399183857;-5930.691549092553;-8606.279463453968;-12444.847272186225;-14822.516772064451
188.0;-462.40425185232857;-1122.323090625864;-1993.3943624605877;-2549.4018660627553;-3153.306516396051;-4754.333133293488;-5926.121742919917;-7325.301741653532
171.0;-887.0503043087157;-2027.4674124424484;-3522.659319363771;-4587.706022141043;-5601.914148442669;-8145.9042206164595;-11667.248026030606;-13925.14348700995
190.0;-405.431308346393;-999.5879782043636;-1788.6884180404668;-2277.2774168941164;-2825.952879939154;-4295.658375153257;-5154.005471775865;-6434.237088567128
173.0;-829.737978080056;-1904.1747271568524;-3317.400564581362;-4314.64828656962;-5273.128487065586;-7685.525782499246;-10889.610862079919;-13027.729459311251
175.0;-772.4279753405625;-1780.8842330769437;-3112.1429739053547;-4041.591517570785;-4944.3440900249825;-7225.136963651442;-10111.969488351868;-12130.312628099577
177.0;-715.1171069992063;-1657.5962944918374;-2906.890070077563;-3768.53818117562;-4615.565605092305;-6764.759279511845;-9334.354262481373;-11232.917253941496
179.0;-657.8069089983723;-1534.3052145726992;-2701.636205958736;-3495.4871205363497;-4286.788369896495;-6304.390499181794;-8556.722224140678;-10335.512292464966
181.0;-600.4940061532104;-1411.0118445137202;-2496.3765755542977;-3222.424352184361;-3957.9966891687027;-5844.003626943119;-7779.089666181961;-9438.096766488967
183.0;-543.1829389058579;-1287.7233901242087;-2291.1200696450446;-2949.370341297725;-3629.2198587601015;-5383.629519256194;-7001.482690609959;-8540.720856714142
185.0;-485.87088086592576;-1164.4318398196356;-2085.8635540309638;-2676.31390318728;-3300.438477598564;-4923.256091905671;-6223.863289834751;-7643.3269213854155
187.0;-428.5606511571137;-1041.1404379594333;-1880.6055374324949;-2403.2557408511384;-2971.652819844633;-4462.871804980554;-5446.247134439041;-6745.936139384172
189.0;-371.2494415947683;-917.8514476358328;-1675.3539296186466;-2130.205800380467;-2642.8786887892375;-4002.5036070680294;-4668.63477903777;-5848.547713496763
