Index;year1;year2;year3;year4;year5;year6;year7;year8
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;-1001.0887560000001;-935.1093790000004;-853.1439949999999;-785.3445219999999;-729.618825;-598.0225899999991;-280.77844999999843;-161.00218000000177
3;-1001.0887560000001;-935.1093790000004;-853.1439940000005;-785.3445219999999;-729.618825;-598.0225899999991;-280.77844999999843;-161.00218000000177
4;-1102.1775119999998;-970.2187590000001;-806.2879890000002;-670.6890440000004;-559.2376499999998;-296.0451699999984;338.4430900000018;577.9956500000001
5;-1102.1775119999998;-970.2187590000001;-806.2879890000002;-670.6890440000004;-559.2376499999998;-296.0451699999984;338.4430900000018;577.9956500000001
6;-1203.266267;-1005.3281380000001;-759.431984;-556.0335660000003;-388.8564739999995;5.932242999999971;957.6646300000018;1316.9934699999983
7;-1203.266267;-1005.3281380000001;-759.431984;-556.0335660000003;-388.8564739999995;5.932242999999971;957.6646300000018;1316.9934699999983
8;-1304.355023;-1040.4375180000004;-712.5759780000001;-441.37808800000016;-218.4752989999995;307.90965700000015;1576.8861700000018;2055.9912899999963
9;-1304.355023;-1040.4375180000004;-712.5759780000001;-441.37808800000016;-218.4752989999995;307.90965700000015;1576.8861700000018;2055.9912999999997
10;-1405.4437791;-1075.546898;-665.7199730000002;-326.7226099999998;-48.09412300000008;609.887071000001;2196.107710000002;2794.9891199999984
11;-1405.4437791;-1075.546898;-665.7199730000002;-326.7226099999998;-48.09412300000008;609.887071000001;2196.107710000002;2794.9891199999984
12;-1506.5325349;-1110.656277;-618.8639680000001;-212.06713200000058;122.2870519999999;911.8644859999999;2815.329250000002;3533.9869399999984
13;-1506.5325349;-1110.656277;-618.8639680000001;-212.06713200000058;122.2870519999999;911.8644859999999;2815.329250000002;3533.9869399999984
