Index;year1;year2;year3;year4;year5;year6;year7;year8
2;-1206.293454;-2723.157062;-4662.352134;-6101.132038;-7441.557845;-10768.84541;-16161.46493;-19178.6034
4;-1148.98221;-2599.866442;-4457.096128;-5828.07656;-7112.77667;-10308.46799;-15383.84339;-18281.20557
6;-1091.670965;-2476.575821;-4251.840123;-5555.021082;-6783.995494;-9848.090577;-14606.22185;-17383.80775
8;-1034.359721;-2353.285201;-4046.584117;-5281.965604;-6455.214319;-9387.713163;-13828.60031;-16486.40993
0;-1263.604698;-2846.447683;-4867.608139;-6374.187516;-7770.33902;-11229.22282;-16939.08648;-20076.00122
3;-1206.293454;-2723.157062;-4662.352133;-6101.132038;-7441.557845;-10768.84541;-16161.46493;-19178.6034
9;-1034.359721;-2353.285201;-4046.584117;-5281.965604;-6455.214319;-9387.713163;-13828.60031;-16486.40992
7;-1091.670965;-2476.575821;-4251.840123;-5555.021082;-6783.995494;-9848.090577;-14606.22185;-17383.80775
5;-1148.98221;-2599.866442;-4457.096128;-5828.07656;-7112.77667;-10308.46799;-15383.84339;-18281.20557
1;-1263.604698;-2846.447683;-4867.608139;-6374.187516;-7770.33902;-11229.22282;-16939.08648;-20076.00122
12;-919.7372329;-2106.70396;-3636.072107;-4735.854648;-5797.651968;-8466.958334;-12273.35723;-14691.61428
14;-862.4259888;-1983.41334;-3430.816101;-4462.79917;-5468.870793;-8006.58092;-11495.73569;-13794.21645
16;-805.1147446;-1860.122719;-3225.560096;-4189.743692;-5140.089617;-7546.203506;-10718.11415;-12896.81863
18;-747.8035005;-1736.832099;-3020.304091;-3916.688214;-4811.308442;-7085.826091;-9940.492607;-11999.4208
10;-977.0484771;-2229.994581;-3841.328112;-5008.910126;-6126.433143;-8927.335749;-13050.97877;-15589.0121
17;-805.1147446;-1860.122719;-3225.560096;-4189.743692;-5140.089617;-7546.203506;-10718.11415;-12896.81863
19;-747.8035005;-1736.832099;-3020.304091;-3916.688214;-4811.308442;-7085.826091;-9940.492607;-11999.4208
15;-862.4259888;-1983.41334;-3430.816101;-4462.79917;-5468.870793;-8006.58092;-11495.73569;-13794.21645
11;-977.0484771;-2229.994581;-3841.328112;-5008.910126;-6126.433143;-8927.335749;-13050.97877;-15589.0121
13;-919.7372329;-2106.70396;-3636.072107;-4735.854648;-5797.651968;-8466.958334;-12273.35723;-14691.61428
22;-633.1810122;-1490.250858;-2609.79208;-3370.577258;-4153.746091;-6165.071263;-8385.249525;-10204.62515
24;-575.869768;-1366.960238;-2404.536075;-3097.52178;-3824.964916;-5704.693849;-7607.627984;-9307.227327
26;-518.5585239;-1243.669617;-2199.280069;-2824.466302;-3496.18374;-5244.316434;-6830.006443;-8409.829502
28;-461.2472797;-1120.378997;-1994.024064;-2551.410824;-3167.402565;-4783.93902;-6052.384902;-7512.431677
30;-403.9360356;-997.0883764;-1788.768059;-2278.355346;-2838.621389;-4323.561606;-5274.763361;-6615.033853
32;-1263.604698;-2846.447683;-4867.608139;-6374.187516;-7770.33902;-11229.22282;-16939.08648;-20076.00122
34;-1206.293454;-2723.157057;-4662.352128;-6101.132193;-7441.558324;-10768.8465;-16161.46628;-19178.60479
20;-690.4922563;-1613.541479;-2815.048085;-3643.632736;-4482.527266;-6625.448677;-9162.871066;-11102.02298
38;-1091.622169;-2476.666034;-4252.093626;-5555.059653;-6783.817788;-9847.41187;-14599.9912;-17374.60433
36;-1149.039916;-2600.005718;-4457.325808;-5828.41616;-7113.146004;-10308.95967;-15384.85929;-18282.14341
31;-403.9360356;-997.0883764;-1788.768058;-2278.355345;-2838.621389;-4323.561605;-5274.763361;-6615.033852
29;-461.2472797;-1120.378997;-1994.024064;-2551.410824;-3167.402565;-4783.93902;-6052.384902;-7512.431677
27;-518.5585239;-1243.669617;-2199.280069;-2824.466302;-3496.18374;-5244.316434;-6830.006443;-8409.829502
21;-690.4922563;-1613.541478;-2815.048085;-3643.632736;-4482.527266;-6625.448677;-9162.871066;-11102.02298
25;-575.869768;-1366.960238;-2404.536075;-3097.52178;-3824.964916;-5704.693848;-7607.627984;-9307.227327
23;-633.1810122;-1490.250858;-2609.79208;-3370.577258;-4153.746091;-6165.071263;-8385.249525;-10204.62515
