Zeit;kWh
01.01.00:30;0.0
01.01.01:30;0.0
01.01.02:30;0.0
01.01.03:30;0.0
01.01.04:30;0.0
01.01.05:30;0.0
01.01.06:30;0.0
01.01.07:30;0.0
01.01.08:30;0.0028599999999999997
01.01.09:30;0.01629
01.01.10:30;0.03198
01.01.11:30;0.04553
01.01.12:30;0.062329999999999997
01.01.13:30;0.03587
01.01.14:30;0.0022400000000000002
01.01.15:30;0.0
01.01.16:30;0.0
01.01.17:30;0.0
01.01.18:30;0.0
01.01.19:30;0.0
01.01.20:30;0.0
01.01.21:30;0.0
01.01.22:30;0.0
01.01.23:30;0.0
02.01.00:30;0.0
02.01.01:30;0.0
02.01.02:30;0.0
02.01.03:30;0.0
02.01.04:30;0.0
02.01.05:30;0.0
02.01.06:30;0.0
02.01.07:30;0.0
02.01.08:30;0.06376
02.01.09:30;0.11906
02.01.10:30;0.13882
02.01.11:30;0.13869
02.01.12:30;0.08904000000000001
02.01.13:30;0.08519
02.01.14:30;0.10756
02.01.15:30;0.0
02.01.16:30;0.0
02.01.17:30;0.0
02.01.18:30;0.0
02.01.19:30;0.0
02.01.20:30;0.0
02.01.21:30;0.0
02.01.22:30;0.0
02.01.23:30;0.0
03.01.00:30;0.0
03.01.01:30;0.0
03.01.02:30;0.0
03.01.03:30;0.0
03.01.04:30;0.0
03.01.05:30;0.0
03.01.06:30;0.0
03.01.07:30;0.00063
03.01.08:30;0.02854
03.01.09:30;0.0554
03.01.10:30;0.24853999999999998
03.01.11:30;0.19763999999999998
03.01.12:30;0.03581
03.01.13:30;0.011460000000000001
03.01.14:30;0.00537
03.01.15:30;0.0
03.01.16:30;0.0
03.01.17:30;0.0
03.01.18:30;0.0
03.01.19:30;0.0
03.01.20:30;0.0
03.01.21:30;0.0
03.01.22:30;0.0
03.01.23:30;0.0
04.01.00:30;0.0
04.01.01:30;0.0
04.01.02:30;0.0
04.01.03:30;0.0
04.01.04:30;0.0
04.01.05:30;0.0
04.01.06:30;0.0
04.01.07:30;0.0
04.01.08:30;0.01105
04.01.09:30;0.01856
04.01.10:30;0.09281
04.01.11:30;0.13231
04.01.12:30;0.14622
04.01.13:30;0.09517
04.01.14:30;0.04988
04.01.15:30;0.0
04.01.16:30;0.0
04.01.17:30;0.0
04.01.18:30;0.0
04.01.19:30;0.0
04.01.20:30;0.0
04.01.21:30;0.0
04.01.22:30;0.0
04.01.23:30;0.0
05.01.00:30;0.0
05.01.01:30;0.0
05.01.02:30;0.0
05.01.03:30;0.0
05.01.04:30;0.0
05.01.05:30;0.0
05.01.06:30;0.0
05.01.07:30;0.0
05.01.08:30;0.00138
05.01.09:30;0.00438
05.01.10:30;0.00808
05.01.11:30;0.00767
05.01.12:30;0.011810000000000001
05.01.13:30;0.0054
05.01.14:30;4e-05
05.01.15:30;0.0
05.01.16:30;0.0
05.01.17:30;0.0
05.01.18:30;0.0
05.01.19:30;0.0
05.01.20:30;0.0
05.01.21:30;0.0
05.01.22:30;0.0
05.01.23:30;0.0
06.01.00:30;0.0
06.01.01:30;0.0
06.01.02:30;0.0
06.01.03:30;0.0
06.01.04:30;0.0
06.01.05:30;0.0
06.01.06:30;0.0
06.01.07:30;0.0
06.01.08:30;0.01307
06.01.09:30;0.27681
06.01.10:30;0.40206000000000003
06.01.11:30;0.47155
06.01.12:30;0.34697
06.01.13:30;0.22359
06.01.14:30;0.053869999999999994
06.01.15:30;0.0
06.01.16:30;0.0
06.01.17:30;0.0
06.01.18:30;0.0
06.01.19:30;0.0
06.01.20:30;0.0
06.01.21:30;0.0
06.01.22:30;0.0
06.01.23:30;0.0
07.01.00:30;0.0
07.01.01:30;0.0
07.01.02:30;0.0
07.01.03:30;0.0
07.01.04:30;0.0
07.01.05:30;0.0
07.01.06:30;0.0
07.01.07:30;0.00025
07.01.08:30;0.04104
07.01.09:30;0.17488
07.01.10:30;0.24065
07.01.11:30;0.39182
07.01.12:30;0.26586000000000004
07.01.13:30;0.20013
07.01.14:30;0.10119
07.01.15:30;0.0
07.01.16:30;0.0
07.01.17:30;0.0
07.01.18:30;0.0
07.01.19:30;0.0
07.01.20:30;0.0
07.01.21:30;0.0
07.01.22:30;0.0
07.01.23:30;0.0
08.01.00:30;0.0
08.01.01:30;0.0
08.01.02:30;0.0
08.01.03:30;0.0
08.01.04:30;0.0
08.01.05:30;0.0
08.01.06:30;0.0
08.01.07:30;0.00197
08.01.08:30;0.31125
08.01.09:30;0.49007
08.01.10:30;0.58623
08.01.11:30;0.59178
08.01.12:30;0.53903
08.01.13:30;0.41699
08.01.14:30;0.20383
08.01.15:30;0.0
08.01.16:30;0.0
08.01.17:30;0.0
08.01.18:30;0.0
08.01.19:30;0.0
08.01.20:30;0.0
08.01.21:30;0.0
08.01.22:30;0.0
08.01.23:30;0.0
09.01.00:30;0.0
09.01.01:30;0.0
09.01.02:30;0.0
09.01.03:30;0.0
09.01.04:30;0.0
09.01.05:30;0.0
09.01.06:30;0.0
09.01.07:30;0.0017900000000000001
09.01.08:30;0.22087
09.01.09:30;0.35977
09.01.10:30;0.4213
09.01.11:30;0.35519
09.01.12:30;0.41004
09.01.13:30;0.37371
09.01.14:30;0.19158
09.01.15:30;0.0
09.01.16:30;0.0
09.01.17:30;0.0
09.01.18:30;0.0
